codigo_ocorrencia,codigo_ocorrencia1,codigo_ocorrencia2,codigo_ocorrencia4,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_aeronave_liberada,investigacao_status,divulgacao_relatorio_numero,divulgacao_relatorio_publicado,divulgacao_dia_publicacao,outras,
51475,51475,51475,51475,INCIDENTE,TABATINGA,AM,SBTT,16/05/2014,15:05:00,SIM,FINALIZADA,***,NÃO,NULL,,
51477,51477,51477,51477,INCIDENTE,SANTARÉM,PA,SBSN,16/05/2014,12:10:00,***,FINALIZADA,***,NÃO,NULL,,
51453,51453,51453,51453,INCIDENTE,SÃO JOSÉ DO RIO PRETO,SP,SBSR,17/05/2014,11:53:00,***,FINALIZADA,***,NÃO,NULL,,
51478,51478,51478,51478,INCIDENTE,JUNDIAÍ,SP,SBJD,17/05/2014,18:42:00,***,FINALIZADA,***,NÃO,NULL,,
51479,51479,51479,51479,INCIDENTE,LONDRINA,PR,SBLO,18/05/2014,20:46:00,***,FINALIZADA,***,NÃO,NULL,,
51436,51436,51436,51436,ACIDENTE,BRASÍLIA,DF,****,19/05/2014,18:00:00,***,NULL,NULL,NÃO,NULL,,
51413,51413,51413,51413,ACIDENTE,ITAMARAJU,BA,****,21/05/2014,18:00:00,SIM,FINALIZADA,A-100/CENIPA/2014,SIM,2015-02-09,,
51480,51480,51480,51480,INCIDENTE,BELO HORIZONTE,MG,SBBH,21/05/2014,21:50:00,***,FINALIZADA,***,NÃO,NULL,,
51541,51541,51541,51541,INCIDENTE,MANAUS,AM,SBEG,21/05/2014,15:20:00,SIM,FINALIZADA,***,NÃO,NULL,,
51454,51454,51454,51454,INCIDENTE,PALMAS,TO,****,22/05/2014,04:13:00,***,FINALIZADA,***,NÃO,NULL,,
51481,51481,51481,51481,INCIDENTE,ANÁPOLIS,GO,SBAN,27/05/2014,11:55:00,***,FINALIZADA,***,NÃO,NULL,,
51438,51438,51438,51438,INCIDENTE GRAVE,CAMPINAS,SP,SDAM,28/05/2014,13:25:00,***,NULL,NULL,NÃO,NULL,,
51482,51482,51482,51482,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,29/05/2014,13:32:00,***,FINALIZADA,***,NÃO,NULL,,
51542,51542,51542,51542,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,29/05/2014,22:37:00,***,FINALIZADA,***,NÃO,NULL,,
51414,51414,51414,51414,ACIDENTE,COARI,AM,SBUY,30/05/2014,02:16:00,SIM,FINALIZADA,A-101/CENIPA/2014,SIM,2020-07-24,,
51535,51535,51535,51535,ACIDENTE,SCHROEDER,SC,****,31/05/2014,17:46:00,***,NULL,NULL,NÃO,NULL,,
51543,51543,51543,51543,INCIDENTE,BELÉM,PA,SBBE,31/05/2014,08:25:00,***,FINALIZADA,***,NÃO,NULL,,
51544,51544,51544,51544,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,31/05/2014,15:25:00,***,FINALIZADA,***,NÃO,NULL,,
51545,51545,51545,51545,INCIDENTE,RECIFE,PE,SBRF,01/06/2014,00:45:00,***,FINALIZADA,***,NÃO,NULL,,
51719,51719,51719,51719,INCIDENTE,GUARULHOS,SP,SBGR,01/06/2014,18:00:00,***,FINALIZADA,***,NÃO,NULL,,
51538,51538,51538,51538,INCIDENTE,COARI,AM,****,03/06/2014,14:10:00,SIM,FINALIZADA,***,NÃO,NULL,,
51546,51546,51546,51546,INCIDENTE,TEFÉ,AM,SBTF,03/06/2014,18:10:00,SIM,FINALIZADA,***,NÃO,NULL,,
51536,51536,51536,51536,INCIDENTE GRAVE,JUNDIAÍ,SP,SBJD,06/06/2014,16:38:00,***,FINALIZADA,IG-102/CENIPA/2014,NÃO,NULL,,
51547,51547,51547,51547,INCIDENTE,BELO HORIZONTE,MG,SBBH,06/06/2014,14:36:00,***,FINALIZADA,***,NÃO,NULL,,
51416,51416,51416,51416,ACIDENTE,ARUANÃ,GO,****,07/06/2014,04:27:00,SIM,FINALIZADA,A-103/CENIPA/2014,SIM,2015-09-11,,
51517,51517,51517,51517,ACIDENTE,NOVA ANDRADINA,MS,****,07/06/2014,11:30:00,***,ATIVA,A-104/CENIPA/2014,NÃO,NULL,,
51531,51531,51531,51531,ACIDENTE,MAIRIPORÃ,SP,****,07/06/2014,14:50:00,SIM,FINALIZADA,A-105/CENIPA/2014,SIM,2015-10-19,,
51532,51532,51532,51532,ACIDENTE,ITAITUBA,PA,****,07/06/2014,13:00:00,SIM,FINALIZADA,A-106/CENIPA/2014,SIM,2015-04-24,,
